model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	job_id
scratch_target_only	47	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731229
scratch_target_only	47	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730657
scratch_target_only	47	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731230
scratch_target_only	47	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36730659
scratch_target_only	47	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36731231
scratch_target_only	47	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730661
scratch_target_only	47	op3	op3	lpm_paper10_scratch_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731232
scratch_target_only	47	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36731233
scratch_target_only	47	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36731234
scratch_target_only	47	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730665
scratch_target_only	47	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed47_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730666
